run_id,timestamp,machine_python,machine_java,dataset,nome_id,nome_sorteado,arquivo_sorteado,linha_sorteada,strategy,threads_per_file,repeticao,success,found,file_name,line_number,line_content,wall_time_ms,wall_time_ns,process_cpu_time_supported,process_cpu_time_ms,cpu_usage_approx_percent,heap_used_before_bytes,heap_used_after_bytes,heap_delta_bytes,available_processors,java_version,os_name,os_arch,error_message
1,2026-05-17T16:21:56,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,sequencial,0,1,True,True,a6.txt,5856,Aaron Graves,37.3938,37393800,True,109.375,24.374584,4218264,9427424,5209160,12,25.0.3,Windows 10,amd64,
2,2026-05-17T16:21:56,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,sequencial,0,2,True,True,a6.txt,5856,Aaron Graves,31.9689,31968900,True,93.75,24.437813,4218264,9427424,5209160,12,25.0.3,Windows 10,amd64,
3,2026-05-17T16:21:56,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,sequencial,0,3,True,True,a6.txt,5856,Aaron Graves,37.8423,37842300,True,109.375,24.085701,4218264,8420768,4202504,12,25.0.3,Windows 10,amd64,
4,2026-05-17T16:21:56,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,sequencial,0,4,True,True,a6.txt,5856,Aaron Graves,36.2784,36278400,True,109.375,25.123995,4218264,8420768,4202504,12,25.0.3,Windows 10,amd64,
5,2026-05-17T16:21:57,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,sequencial,0,5,True,True,a6.txt,5856,Aaron Graves,29.538,29538000,True,46.875,13.22449,4218264,9427424,5209160,12,25.0.3,Windows 10,amd64,
6,2026-05-17T16:21:57,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,singleThread,0,1,True,True,a6.txt,5856,Aaron Graves,44.9848,44984800,True,109.375,20.261474,4218264,9419264,5201000,12,25.0.3,Windows 10,amd64,
7,2026-05-17T16:21:57,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,singleThread,0,2,True,True,a6.txt,5856,Aaron Graves,42.8108,42810800,True,93.75,18.2489,4218264,9419264,5201000,12,25.0.3,Windows 10,amd64,
8,2026-05-17T16:21:57,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,singleThread,0,3,True,True,a6.txt,5856,Aaron Graves,36.9337,36933700,True,109.375,24.67823,4218264,9419264,5201000,12,25.0.3,Windows 10,amd64,
9,2026-05-17T16:21:58,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,singleThread,0,4,True,True,a6.txt,5856,Aaron Graves,41.8704,41870400,True,125.0,24.878355,4218264,9419264,5201000,12,25.0.3,Windows 10,amd64,
10,2026-05-17T16:21:58,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,singleThread,0,5,True,True,a6.txt,5856,Aaron Graves,41.2415,41241500,True,78.125,15.786081,4218264,9419264,5201000,12,25.0.3,Windows 10,amd64,
11,2026-05-17T16:21:58,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,oneThreadPerFile,0,1,True,True,a6.txt,5856,Aaron Graves,40.1551,40155100,True,296.875,61.610065,4218264,12606912,8388648,12,25.0.3,Windows 10,amd64,
12,2026-05-17T16:21:58,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,oneThreadPerFile,0,2,True,True,a6.txt,5856,Aaron Graves,44.3933,44393300,True,187.5,35.196753,4218264,12606904,8388640,12,25.0.3,Windows 10,amd64,
13,2026-05-17T16:21:58,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,oneThreadPerFile,0,3,True,True,a6.txt,5856,Aaron Graves,41.0734,41073400,True,312.5,63.402754,4218264,12606928,8388664,12,25.0.3,Windows 10,amd64,
14,2026-05-17T16:21:59,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,oneThreadPerFile,0,4,True,True,a6.txt,5856,Aaron Graves,40.0553,40055300,True,328.125,68.264999,4218264,12606984,8388720,12,25.0.3,Windows 10,amd64,
15,2026-05-17T16:21:59,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,oneThreadPerFile,0,5,True,True,a6.txt,5856,Aaron Graves,41.2215,41221500,True,296.875,60.016213,4218264,12606904,8388640,12,25.0.3,Windows 10,amd64,
16,2026-05-17T16:21:59,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,grande,1,Aaron Graves,a6.txt,5856,multiThreadPerFile,2,1,True,True,a6.txt,5856,Aaron Graves,45.5164,45516400,True,140.625,25.746215,4218264,10593584,6375320,12,25.0.3,Windows 10,amd64,
