dataset,strategy,threads_per_file,quantidade_execucoes,media_wall_time_ms,menor_wall_time_ms,maior_wall_time_ms,media_process_cpu_time_ms,media_cpu_usage_approx_percent,media_heap_delta_bytes
grande,multiThreadPerFile,2,25,38.207152,27.4618,48.6159,101.875,22.234564799999998,5268060.16
grande,multiThreadPerFile,4,25,42.550807999999996,26.7827,106.6789,128.75,26.193279080000003,7343333.12
grande,multiThreadPerFile,8,25,39.042412,28.7701,48.89,140.0,30.94372028,10182339.84
grande,oneThreadPerFile,0,25,38.331688,21.0975,50.0775,235.625,48.98203548000001,7985990.72
grande,sequencial,0,25,27.350023999999998,16.9013,37.8423,71.875,21.55258836,3294886.4
grande,singleThread,0,25,32.397216,19.8942,44.9848,77.5,19.55175844,3832594.56
