dataset,strategy,threads_per_file,quantidade_execucoes,media_wall_time_ms,menor_wall_time_ms,maior_wall_time_ms,media_process_cpu_time_ms,media_cpu_usage_approx_percent,media_heap_delta_bytes
dataset_100x200k,multiThreadPerFile,2,25,1253.334956,916.88,1579.0551,1895.625,12.70020272,137764007.04
dataset_100x200k,multiThreadPerFile,4,25,1289.9444,941.0335,1622.3067,2186.25,14.28328048,156561339.2
dataset_100x200k,multiThreadPerFile,8,25,1336.57128,980.1793,1658.8041,2816.875,17.816687039999998,165708033.92
dataset_100x200k,oneThreadPerFile,0,25,605.408952,155.9439,2761.6965,6320.625,84.90523171999999,161469642.24
dataset_100x200k,sequencial,0,25,1086.044628,776.5841,1323.5303,1461.25,11.304131159999999,121268782.72
dataset_100x200k,singleThread,0,25,1106.050636,778.2584,1422.1723,1480.625,11.231603680000001,124382374.4
