dataset,strategy,threads_per_file,quantidade_execucoes,media_wall_time_ms,menor_wall_time_ms,maior_wall_time_ms,media_process_cpu_time_ms,media_cpu_usage_approx_percent,media_heap_delta_bytes
grande,multiThreadPerFile,2,25,27.724152,20.8092,41.7508,90.0,27.67825196,4282581.76
grande,multiThreadPerFile,4,25,28.136188,21.8408,42.7128,103.125,31.00711456,6341083.84
grande,multiThreadPerFile,8,25,27.59976,22.5825,35.9321,123.125,37.38186048,9219940.16
grande,oneThreadPerFile,0,25,34.639224,21.6222,49.7835,255.0,61.13459652,7994662.4
grande,sequencial,0,25,16.864359999999998,11.2668,24.6398,50.0,24.202720439999997,1912425.28
grande,singleThread,0,25,20.607208,13.8397,56.7517,54.375,21.614941560000002,2986332.8
