run_id,timestamp,machine_python,machine_java,dataset,nome_id,nome_sorteado,arquivo_sorteado,linha_sorteada,strategy,threads_per_file,repeticao,success,found,file_name,line_number,line_content,wall_time_ms,wall_time_ns,process_cpu_time_supported,process_cpu_time_ms,cpu_usage_approx_percent,heap_used_before_bytes,heap_used_after_bytes,heap_delta_bytes,available_processors,java_version,os_name,os_arch,error_message
1,2026-05-17T16:20:21,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,pequeno,1,Dave Harris,arq_4.txt,79,sequencial,0,1,True,True,arq_4.txt,79,Dave Harris,13.2936,13293600,True,15.625,9.794814,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
2,2026-05-17T16:20:21,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,pequeno,1,Dave Harris,arq_4.txt,79,sequencial,0,2,True,True,arq_4.txt,79,Dave Harris,11.7517,11751700,True,0.0,0.0,4218264,5224928,1006664,12,25.0.3,Windows 10,amd64,
3,2026-05-17T16:20:21,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,pequeno,1,Dave Harris,arq_4.txt,79,sequencial,0,3,True,True,arq_4.txt,79,Dave Harris,12.7483,12748300,True,15.625,10.21378,4218264,5224928,1006664,12,25.0.3,Windows 10,amd64,
4,2026-05-17T16:20:21,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,pequeno,1,Dave Harris,arq_4.txt,79,sequencial,0,4,True,True,arq_4.txt,79,Dave Harris,11.375,11375000,True,15.625,11.446886,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
5,2026-05-17T16:20:21,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,pequeno,1,Dave Harris,arq_4.txt,79,sequencial,0,5,True,True,arq_4.txt,79,Dave Harris,11.3324,11332400,True,0.0,0.0,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
6,2026-05-17T16:20:22,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,pequeno,1,Dave Harris,arq_4.txt,79,singleThread,0,1,True,True,arq_4.txt,79,Dave Harris,15.5782,15578200,True,31.25,16.716737,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
7,2026-05-17T16:20:22,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,pequeno,1,Dave Harris,arq_4.txt,79,singleThread,0,2,True,True,arq_4.txt,79,Dave Harris,14.9193,14919300,True,31.25,17.455019,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
8,2026-05-17T16:20:22,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,pequeno,1,Dave Harris,arq_4.txt,79,singleThread,0,3,True,True,arq_4.txt,79,Dave Harris,14.5117,14511700,True,31.25,17.94529,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
9,2026-05-17T16:20:22,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,pequeno,1,Dave Harris,arq_4.txt,79,singleThread,0,4,True,True,arq_4.txt,79,Dave Harris,15.0184,15018400,True,46.875,26.009761,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
10,2026-05-17T16:20:22,DESKTOP-D1CPDCT,DESKTOP-D1CPDCT,pequeno,1,Dave Harris,arq_4.txt,79,singleThread,0,5,True,True,arq_4.txt,79,Dave Harris,15.1353,15135300,True,46.875,25.808871,4218264,6399272,2181008,12,25.0.3,Windows 10,amd64,
